"ID1","ID2","Dist","DistM","BC_d654500_p1.0E-10_beta0_Clunulatus"
"4","25","428404.014920495","428404.014920495","2.8476338864732426E-7"
"4","39","435129.8656723062","435129.8656723062","2.247609831225284E-7"
"4","10","234999.99999999953","234999.99999999953","2.567277886950315E-4"
"4","15","157841.6928444442","157841.6928444442","0.0038758076698142026"
"4","7","25632.011235952592","25632.011235952592","0.4058566179241122"
"4","5","25709.920264364882","25709.920264364882","0.404745727010848"
"4","6","4000.0","4000.0","0.8687296508039025"
"4","36","593177.8822579264","593177.8822579264","8.64830011864413E-10"
"4","33","594734.3944989212","594734.3944989212","8.187457388536124E-10"
"4","32","590592.9224093347","590592.9224093347","9.47761075983895E-10"
"4","24","437922.3675493172","437922.3675493172","2.037298829582243E-7"
"4","29","341575.7602641022","341575.7602641022","6.041141637851032E-6"
"4","22","420405.75638304406","420405.75638304406","3.7730122405919735E-7"
"4","13","337349.9666518428","337349.9666518428","7.009454767521005E-6"
"4","14","382404.23637820705","382404.23637820705","1.4365055650132208E-6"
"4","9","233430.93196917966","233430.93196917966","2.71297890938805E-4"
"4","8","233077.24041613284","233077.24041613284","2.7469478453491286E-4"
"4","17","350304.1535580185","350304.1535580185","4.443849107838064E-6"
"4","11","5000.0","5000.0","0.8386983834920901"
"4","12","12041.594578792296","12041.594578792296","0.6546639362798041"
"5","18","646239.1198310415","646239.1198310415","1.3372634353921418E-10"
"5","19","637377.4391990976","637377.4391990976","1.8264712751246583E-10"
"5","16","639228.441169508","639228.441169508","1.7126827116493442E-10"
"5","25","447889.4952999006","447889.4952999006","1.4360449159761986E-7"
"5","39","436945.076640073","436945.076640073","2.108563125362462E-7"
"5","10","208830.0744624677","208830.0744624677","6.446425292118382E-4"
"5","15","131015.26628603201","131015.26628603201","0.009959530478638205"
"5","7","1000.0","1000.0","0.9654308250167103"
"5","6","18681.541692269406","18681.541692269406","0.5182839211148929"
"5","36","573809.201738695","573809.201738695","1.7094708514307298E-9"
"5","33","575117.379323559","575117.379323559","1.6325792242661265E-9"
"5","32","571098.0651341751","571098.0651341751","1.881731479975701E-9"
"5","24","414999.9999999991","414999.9999999991","4.5633301933019187E-7"
"5","29","318127.33299733844","318127.33299733844","1.3784269598473673E-5"
"5","22","394182.6987578214","394182.6987578214","9.491745491590016E-7"
"5","13","312621.1765060062","312621.1765060062","1.673059691892667E-5"
"5","14","355015.4926196879","355015.4926196879","3.765091316698133E-6"
"5","9","207086.93826506732","207086.93826506732","6.854125480971779E-4"
"5","8","206634.94380186475","206634.94380186475","6.963987798089008E-4"
"5","17","322490.3099319417","322490.3099319417","1.182285973851946E-5"
"5","11","21095.023109728987","21095.023109728987","0.47609381797971534"
"5","12","39395.43120718442","39395.43120718442","0.2500826466050539"
"7","18","644022.5151343696","644022.5151343696","1.4460538526992002E-10"
"7","19","635185.0124176414","635185.0124176414","1.973380956941937E-10"
"7","16","637047.0940205279","637047.0940205279","1.8497188247055422E-10"
"7","25","445588.37507277913","445588.37507277913","1.557495569491583E-7"
"7","39","433789.11927340826","433789.11927340826","2.3561664689965857E-7"
"7","10","207711.33815947507","207711.33815947507","6.705203231043112E-4"
"7","15","130096.11831257642","130096.11831257642","0.010286849327407796"
"7","36","571553.1471350661","571553.1471350661","1.8506811204637064E-9"
"7","33","572889.1690370821","572889.1690370821","1.76570737626653E-9"
"7","32","568855.8692674256","568855.8692674256","2.0361782758895907E-9"
"7","24","413208.17997711425","413208.17997711425","4.860252405426676E-7"
"7","29","316412.70518106484","316412.70518106484","1.4641355331134092E-5"
"7","22","393103.0399271919","393103.0399271919","9.859207747673302E-7"
"7","13","311155.90947304777","311155.90947304777","1.7615663875232426E-5"
"7","14","354369.86327846744","354369.86327846744","3.8515893792257176E-6"
"7","9","206021.84350209034","206021.84350209034","7.115828330134304E-4"
"7","8","205601.55641434187","205601.55641434187","7.221825007810619E-4"
"7","17","323125.36266904185","323125.36266904185","1.15616460296948E-5"
"7","11","22022.71554554524","22022.71554554524","0.4608063754034573"
"7","12","39824.615503479756","39824.615503479756","0.24633499833443936"
"6","21","646877.1135231167","646877.1135231167","1.3075817598105113E-10"
"6","20","647891.9663030243","647891.9663030243","1.2617663778992273E-10"
"6","18","629286.8980043993","629286.8980043993","2.42788006752082E-10"
"6","19","620287.8364114512","620287.8364114512","3.3321315044590696E-10"
"6","16","622075.558111713","622075.558111713","3.1315045653219984E-10"
"6","25","431529.8367436482","431529.8367436482","2.5510867351348166E-7"
